time,vSI,vs
0.0,5.0e+1,0.0
1.00000000000000002e-3,5.00000000000000142e+1,0.0
2.00000000000000004e-3,5.00000000000000213e+1,6.39818220618208141e-16
3.00000000000000006e-3,5.00000000000000355e+1,1.88029484449185559e-15
4.00000000000000008e-3,5.00000000000000426e+1,3.68398490309084564e-15
5.0000000000000001e-3,5.00000000000000568e+1,6.01509313846715561e-15
6.00000000000000012e-3,5.00000000000000639e+1,8.83941115979209293e-15
7.00000000000000015e-3,5.00000000000000782e+1,1.21242568172974605e-14
8.00000000000000017e-3,5.00000000000000853e+1,1.58384157187777325e-14
9.00000000000000105e-3,5.00000000000000995e+1,1.99520848162692903e-14
1.00000000000000002e-2,5.00000000000001137e+1,2.44368179929023689e-14
1.09999999999999994e-2,5.00000000000001208e+1,2.9265473582223864e-14
1.20000000000000002e-2,5.0000000000000135e+1,3.44121637545174644e-14
1.30000000000000011e-2,5.00000000000001421e+1,3.98522057068034575e-14
1.40000000000000003e-2,5.00000000000001563e+1,4.55620745952871706e-14
1.49999999999999994e-2,5.00000000000001634e+1,5.15193581510436075e-14
1.60000000000000003e-2,5.00000000000001776e+1,5.7702712921679258e-14
1.70000000000000012e-2,5.00000000000001918e+1,6.40918220836024515e-14
1.80000000000000021e-2,5.0000000000000199e+1,7.06673547713622286e-14
1.89999999999999995e-2,5.00000000000002132e+1,7.74109268722856397e-14
2.00000000000000004e-2,5.00000000000002203e+1,8.43050632363552685e-14
2.10000000000000013e-2,5.00000000000002345e+1,9.13331612529259524e-14
2.19999999999999987e-2,5.00000000000002416e+1,9.84794557474817846e-14
2.29999999999999996e-2,5.00000000000002558e+1,1.05728985153186546e-13
2.40000000000000005e-2,5.000000000000027e+1,1.13067558913479991e-13
2.50000000000000014e-2,5.00000000000002771e+1,1.20481726073424762e-13
2.60000000000000023e-2,5.00000000000002913e+1,1.27958745018913612e-13
2.69999999999999997e-2,5.00000000000002984e+1,1.35486554324204478e-13
2.80000000000000006e-2,5.00000000000003126e+1,1.43053744669566394e-13
2.90000000000000015e-2,5.00000000000003197e+1,1.5064953179209118e-13
2.99999999999999989e-2,5.0000000000000334e+1,1.58263730433955435e-13
3.09999999999999998e-2,5.00000000000003411e+1,1.65886729253608446e-13
3.20000000000000007e-2,5.00000000000003553e+1,1.73509466666513191e-13
3.30000000000000016e-2,5.00000000000003695e+1,1.81123407583181127e-13
3.40000000000000024e-2,5.00000000000003766e+1,1.88720521013319257e-13
3.50000000000000033e-2,5.00000000000003908e+1,1.96293258505951324e-13
3.60000000000000042e-2,5.00000000000003979e+1,2.03834533396380957e-13
3.69999999999999982e-2,5.00000000000004121e+1,2.11337700831844001e-13
3.79999999999999991e-2,5.00000000000004192e+1,2.18796538548636772e-13
3.89999999999999999e-2,5.00000000000004334e+1,2.26205228374422268e-13
4.00000000000000008e-2,5.00000000000004405e+1,2.33558338430299012e-13
4.10000000000000017e-2,5.00000000000004547e+1,2.4085080600806935e-13
4.20000000000000026e-2,5.0000000000000469e+1,2.48077921098972512e-13
4.30000000000000035e-2,5.00000000000004761e+1,2.55235310550945333e-13
4.39999999999999974e-2,5.00000000000004903e+1,2.62318922832245899e-13
4.49999999999999983e-2,5.00000000000004974e+1,2.69325013380023765e-13
4.59999999999999992e-2,5.00000000000005116e+1,2.76250130513141547e-13
4.70000000000000001e-2,5.00000000000005187e+1,2.83091101889255768e-13
4.8000000000000001e-2,5.00000000000005329e+1,2.89845021486834618e-13
4.90000000000000019e-2,5.00000000000005471e+1,2.96509237093450503e-13
5.00000000000000028e-2,5.00000000000005542e+1,3.0308133828231265e-13
5.10000000000000037e-2,5.00000000000005684e+1,3.09559144859621096e-13
5.20000000000000046e-2,5.00000000000005755e+1,3.15940695765910805e-13
5.29999999999999985e-2,5.00000000000005898e+1,3.22224238415128417e-13
5.39999999999999994e-2,5.00000000000005969e+1,3.28408218455737508e-13
5.50000000000000003e-2,5.00000000000006111e+1,3.34491269938683074e-13
5.60000000000000012e-2,5.00000000000006253e+1,3.40472205877561145e-13
5.70000000000000021e-2,5.00000000000006324e+1,3.46350009186841542e-13
5.80000000000000029e-2,5.00000000000006466e+1,3.52123823984476617e-13
5.90000000000000038e-2,5.00000000000006537e+1,3.57792947245690629e-13
5.99999999999999978e-2,5.00000000000006679e+1,3.63356820795203519e-13
6.09999999999999987e-2,5.0000000000000675e+1,3.68815023625575691e-13
6.19999999999999996e-2,5.00000000000006892e+1,3.74167264529783129e-13
6.30000000000000004e-2,5.00000000000006963e+1,3.79413375036542688e-13
6.40000000000000013e-2,5.00000000000007105e+1,3.84553302637301955e-13
6.50000000000000022e-2,5.00000000000007248e+1,3.89587104294185165e-13
6.60000000000000031e-2,5.00000000000007319e+1,3.94514940218566873e-13
6.7000000000000004e-2,5.00000000000007461e+1,3.99337067910288154e-13
6.80000000000000049e-2,5.00000000000007532e+1,4.04053836447886869e-13
6.90000000000000058e-2,5.00000000000007674e+1,4.08665681020540124e-13
7.00000000000000067e-2,5.00000000000007745e+1,4.13173117692740724e-13
7.10000000000000075e-2,5.00000000000007887e+1,4.17576738393045029e-13
7.20000000000000084e-2,5.00000000000007958e+1,4.21877206118524346e-13
7.29999999999999954e-2,5.000000000000081e+1,4.26075250346848001e-13
7.39999999999999963e-2,5.00000000000008242e+1,4.30171662648206415e-13
7.49999999999999972e-2,5.00000000000008313e+1,4.34167292489553966e-13
7.59999999999999981e-2,5.00000000000008455e+1,4.3806304322391484e-13
7.6999999999999999e-2,5.00000000000008527e+1,4.41859868257747486e-13
7.79999999999999999e-2,5.00000000000008669e+1,4.4555876738961234e-13
7.90000000000000008e-2,5.0000000000000874e+1,4.49160783313622741e-13
8.00000000000000017e-2,5.00000000000008882e+1,4.52666998281385879e-13
8.10000000000000026e-2,5.00000000000009024e+1,4.56078530916365476e-13
8.20000000000000034e-2,5.00000000000009095e+1,4.59396533174814811e-13
8.30000000000000043e-2,5.00000000000009237e+1,4.62622187447625242e-13
8.40000000000000052e-2,5.00000000000009308e+1,4.65756703797648938e-13
8.50000000000000061e-2,5.0000000000000945e+1,4.68801317327234438e-13
8.6000000000000007e-2,5.00000000000009521e+1,4.71757285670912875e-13
8.70000000000000079e-2,5.00000000000009663e+1,4.7462588660834213e-13
8.79999999999999949e-2,5.00000000000009805e+1,4.77408415792797683e-13
8.89999999999999958e-2,5.00000000000009877e+1,4.80106184590662283e-13
8.99999999999999967e-2,5.00000000000010019e+1,4.82720518027536074e-13
9.09999999999999976e-2,5.0000000000001009e+1,4.85252752836735888e-13
9.19999999999999984e-2,5.00000000000010232e+1,4.87704235606113901e-13
9.29999999999999993e-2,5.00000000000010303e+1,4.9007632101926597e-13
9.40000000000000002e-2,5.00000000000010445e+1,4.92370370187345325e-13
9.50000000000000011e-2,5.00000000000010516e+1,4.94587749067830588e-13
9.6000000000000002e-2,5.00000000000010658e+1,4.96729826966732922e-13
9.70000000000000029e-2,5.000000000000108e+1,4.98797975120852478e-13
9.80000000000000038e-2,5.00000000000010871e+1,5.00793565356815432e-13
9.90000000000000047e-2,5.00000000000011013e+1,5.02717968823749878e-13
1.00000000000000006e-1,5.00000000000011084e+1,5.04572554796560563e-13
1.01000000000000006e-1,5.00000000000011227e+1,5.06358689546889248e-13
1.02000000000000007e-1,5.00000000000011298e+1,5.08077735278937154e-13
1.03000000000000008e-1,5.0000000000001144e+1,5.09731049127448541e-13
1.04000000000000009e-1,5.00000000000011511e+1,5.11319982215236245e-13
1.04999999999999996e-1,5.00000000000011653e+1,5.12845878767737435e-13
1.05999999999999997e-1,5.00000000000011795e+1,5.14310075282180973e-13
1.06999999999999998e-1,5.00000000000011866e+1,5.15713899749028495e-13
1.07999999999999999e-1,5.00000000000012008e+1,5.17058670923449633e-13
1.09e-1,5.00000000000012079e+1,5.1834569764466899e-13
1.10000000000000001e-1,5.00000000000012221e+1,5.19576278201100178e-13
1.11000000000000001e-1,5.00000000000012292e+1,5.20751699739272458e-13
1.12000000000000002e-1,5.00000000000012434e+1,5.21873237714615128e-13
1.13000000000000003e-1,5.00000000000012577e+1,5.22942155382249797e-13
1.14000000000000004e-1,5.00000000000012648e+1,5.2395970332600595e-13
1.15000000000000005e-1,5.0000000000001279e+1,5.24927119023939377e-13
1.16000000000000006e-1,5.0000000000001279e+1,5.25845626448709226e-13
1.17000000000000007e-1,5.0000000000001279e+1,5.26076617480598033e-13
1.18000000000000008e-1,5.0000000000001279e+1,5.25660447831491661e-13
1.19000000000000009e-1,5.0000000000001279e+1,5.24635743853713465e-13
1.19999999999999996e-1,5.0000000000001279e+1,5.23039467402780829e-13
1.20999999999999996e-1,5.0000000000001279e+1,5.2090697843287398e-13
1.21999999999999997e-1,5.0000000000001279e+1,5.18272095401093568e-13
1.22999999999999998e-1,5.0000000000001279e+1,5.15167153554096901e-13
1.23999999999999999e-1,5.0000000000001279e+1,5.11623061168295907e-13
1.25e-1,5.0000000000001279e+1,5.07669353812453961e-13
1.26000000000000001e-1,5.0000000000001279e+1,5.03334246699275884e-13
1.27000000000000002e-1,5.0000000000001279e+1,4.98644685190400924e-13
1.28000000000000003e-1,5.0000000000001279e+1,4.93626393517078507e-13
1.29000000000000004e-1,5.0000000000001279e+1,4.88303921776782088e-13
1.30000000000000004e-1,5.0000000000001279e+1,4.82700691264023426e-13
1.31000000000000005e-1,5.0000000000001279e+1,4.76839038191719756e-13
1.32000000000000006e-1,5.0000000000001279e+1,4.70740255857605609e-13
1.33000000000000007e-1,5.0000000000001279e+1,4.64424635308402744e-13
1.34000000000000008e-1,5.0000000000001279e+1,4.57911504552704522e-13
1.35000000000000009e-1,5.0000000000001279e+1,4.51219266371874371e-13
1.3600000000000001e-1,5.0000000000001279e+1,4.44365434776611378e-13
1.37000000000000011e-1,5.0000000000001279e+1,4.37366670155279572e-13
1.38000000000000012e-1,5.0000000000001279e+1,4.30238813158571188e-13
1.39000000000000012e-1,5.0000000000001279e+1,4.22996917363596779e-13
1.40000000000000013e-1,5.0000000000001279e+1,4.1565528075907171e-13
1.41000000000000014e-1,5.0000000000001279e+1,4.08227476091906807e-13
1.42000000000000015e-1,5.0000000000001279e+1,4.00726380114142867e-13
1.43000000000000016e-1,5.0000000000001279e+1,3.93164201767921768e-13
1.44000000000000017e-1,5.0000000000001279e+1,3.85552509344891153e-13
1.4499999999999999e-1,5.0000000000001279e+1,3.77902256655280862e-13
1.45999999999999991e-1,5.0000000000001279e+1,3.70223808240674856e-13
1.46999999999999992e-1,5.0000000000001279e+1,3.62526963663408463e-13
1.47999999999999993e-1,5.0000000000001279e+1,3.54820980904400323e-13
1.48999999999999994e-1,5.0000000000001279e+1,3.47114598900188505e-13
1.49999999999999994e-1,5.0000000000001279e+1,3.39416059248904665e-13
1.50999999999999995e-1,5.0000000000001279e+1,3.31733127113935107e-13
1.51999999999999996e-1,5.0000000000001279e+1,3.24073111353057465e-13
1.52999999999999997e-1,5.0000000000001279e+1,3.16442883899916168e-13
1.53999999999999998e-1,5.0000000000001279e+1,3.08848898423804831e-13
1.54999999999999999e-1,5.0000000000001279e+1,3.01297208292844036e-13
1.56e-1,5.0000000000001279e+1,2.93793483864826053e-13
1.57000000000000001e-1,5.0000000000001279e+1,2.86343029129164953e-13
1.58000000000000002e-1,5.0000000000001279e+1,2.78950797722615158e-13
1.59000000000000002e-1,5.0000000000001279e+1,2.71621408340663063e-13
1.60000000000000003e-1,5.0000000000001279e+1,2.64359159565755317e-13
1.61000000000000004e-1,5.0000000000001279e+1,2.57168044132824262e-13
1.62000000000000005e-1,5.0000000000001279e+1,2.50051762651876235e-13
1.63000000000000006e-1,5.0000000000001279e+1,2.43013736806749166e-13
1.64000000000000007e-1,5.0000000000001279e+1,2.36057122048498367e-13
1.65000000000000008e-1,5.0000000000001279e+1,2.29184819801251536e-13
1.66000000000000009e-1,5.0000000000001279e+1,2.22399489197767859e-13
1.6700000000000001e-1,5.0000000000001279e+1,2.15703558361359846e-13
1.6800000000000001e-1,5.0000000000001279e+1,2.0909923525026821e-13
1.69000000000000011e-1,5.0000000000001279e+1,2.02588518080035202e-13
